                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.80031,                0.46806,                0.84801,                0.98487,                0.94012,                 0.9799,                0.78928,                 0.7278,                0.43206,                0.84778,              0.0013268,              0.0013268,              0.0013268
                     88,                0.83456,                0.48149,                0.85324,                0.97035,                0.94568,                0.97898,                0.80297,                 0.6495,                0.40264,                0.83594,              0.0013189,              0.0013189,              0.0013189
                     89,                0.77076,                 0.4532,                0.85708,                0.97548,                0.94382,                0.97952,                0.80591,                 0.6512,                0.40006,                0.83364,               0.001311,               0.001311,               0.001311
                     90,                0.81683,                0.46286,                0.85656,                0.98118,                0.91653,                0.97892,                0.80713,                0.68261,                0.41741,                0.84085,               0.001303,               0.001303,               0.001303
                     91,                0.81503,                0.48323,                0.85167,                0.97348,                0.94274,                 0.9789,                0.76231,                0.76354,                  0.418,                 0.8506,              0.0012951,              0.0012951,              0.0012951
                     92,                0.80078,                0.47617,                0.85123,                0.98718,                0.93579,                0.98081,                0.81764,                0.61354,                0.37381,                0.83541,              0.0012872,              0.0012872,              0.0012872
                     93,                0.78697,                0.46525,                0.84954,                0.98264,                0.92777,                0.97972,                0.80614,                0.70039,                0.39139,                0.83891,              0.0012793,              0.0012793,              0.0012793
                     94,                0.78661,                0.45603,                 0.8467,                 0.9706,                 0.9538,                0.98054,                0.80416,                0.65774,                0.37134,                0.83347,              0.0012714,              0.0012714,              0.0012714
                     95,                0.78267,                0.45682,                0.83833,                0.98047,                0.94382,                 0.9825,                0.81628,                0.66475,                0.36608,                0.83584,              0.0012634,              0.0012634,              0.0012634
                     96,                0.79223,                0.45557,                0.84846,                0.98169,                0.94685,                 0.9803,                0.80543,                 0.6622,                 0.3922,                0.83786,              0.0012555,              0.0012555,              0.0012555
                     97,                 0.7581,                0.44185,                0.83908,                0.97347,                0.94226,                0.97967,                0.79689,                0.66812,                0.39077,                 0.8368,              0.0012476,              0.0012476,              0.0012476
                     98,                0.74721,                0.44642,                0.83783,                 0.9823,                  0.939,                 0.9808,                0.82161,                 0.6276,                0.36422,                0.83231,              0.0012397,              0.0012397,              0.0012397
                     99,                0.72741,                0.43668,                0.84383,                0.96882,                0.94775,                 0.9779,                 0.8129,                0.66536,                0.40711,                0.83459,              0.0012318,              0.0012318,              0.0012318
                    100,                0.75964,                0.46141,                0.84326,                0.97226,                 0.9563,                0.98096,                0.80734,                0.65593,                0.40065,                0.83794,              0.0012238,              0.0012238,              0.0012238
                    101,                0.78515,                  0.462,                0.83644,                0.96532,                0.95345,                0.98049,                0.78162,                0.73394,                0.41097,                0.83965,              0.0012159,              0.0012159,              0.0012159
                    102,                0.76941,                0.45662,                0.84867,                0.98363,                0.93258,                0.98203,                0.81956,                0.63629,                0.36884,                0.83082,               0.001208,               0.001208,               0.001208
                    103,                0.80434,                0.46098,                0.85817,                0.96909,                0.95618,                0.98276,                0.78216,                0.77695,                0.42574,                0.84203,              0.0012001,              0.0012001,              0.0012001
                    104,                0.84882,                 0.4757,                0.84003,                0.97324,                0.94543,                0.97651,                0.80845,                0.68994,                0.41093,                0.83348,              0.0011922,              0.0011922,              0.0011922
                    105,                0.77357,                0.45542,                0.84065,                0.96874,                0.94515,                0.98036,                0.81336,                0.65492,                0.37603,                0.83015,              0.0011842,              0.0011842,              0.0011842
                    106,                0.78314,                0.45812,                0.83804,                0.96883,                0.94807,                0.98268,                0.83064,                0.61661,                0.36852,                0.83239,              0.0011763,              0.0011763,              0.0011763
